stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
88,STIG,Stigler,Stigler,3,WNW,Haskell,35.265270,-95.181160,173,East Central,STANDARD,0.053,0.32,0.019,1.71,1.83,0,21.9,65.5,12.6,Silt Loam,0.054,0.329,0.017,1.79,0.048,0.355,0.014,2.02,1.64,0,19.6,66.6,13.8,Silt Loam,0.102,0.317,0.062,1.26,1.86,0,15.3,54.8,29.9,Silty Clay Loam,0.118,0.332,0.062,1.24,1.83,0,11.1,50.5,38.4,Silty Clay Loam,19940101,20991231
89,STIL,Stillwater,Stillwater,2,W,Payne,36.120930,-97.095270,272,Central,STANDARD,0.115,0.465,0.138,1.27,1.3,0,15.7,49.6,34.8,Silty Clay Loam,0.106,0.443,0.112,1.27,0.084,0.375,0.057,1.33,1.6,0,24.9,47.1,28,Clay Loam,0.075,0.371,0.071,1.33,1.58,0,29.4,42,28.6,Clay Loam,0.117,0.358,0.053,1.16,1.7,0,25.2,29.7,45.1,Clay,19940101,20991231
90,STUA,Stuart,Stuart,3,SE,Pittsburg,34.876420,-96.069820,256,East Central,STANDARD,0.023,0.35,0.207,1.39,1.54,0.1,82.6,14.4,2.9,Loamy Sand,0.014,0.406,0.354,1.45,0.02,0.349,0.328,1.51,1.53,0,75.4,19.2,5.4,Loamy Sand,0.049,0.312,0.102,1.3,1.84,0,74.4,9.2,16.4,Sandy Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
91,SULP,Sulphur,Sulphur,4,NNE,Murray,34.566100,-96.950480,320,South Central,STANDARD,0.078,0.509,0.285,1.4,0.98,0,43.3,22.8,33.9,Clay Loam,0.081,0.501,0.262,1.37,0.092,0.473,0.196,1.31,1.24,0,38.9,19.1,42,Clay,0.069,0.405,0.259,1.43,1.42,0,50.7,19,30.3,Sandy Clay Loam,0.055,0.39,0.287,1.51,1.4,0,48.2,26.5,25.3,Sandy Clay Loam,19940101,20991231
92,TAHL,Tahlequah,Tahlequah,4,N,Cherokee,35.972350,-94.986710,290,East Central,STANDARD,0.039,0.443,0.144,1.39,1.01,0,25.8,61.6,12.6,Silt Loam,0.042,0.431,0.114,1.41,0.052,0.402,0.056,1.51,1.3,0,21.4,60.4,18.2,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
138,TALA,Talala,Talala,3.9,NW,Rogers,36.574310,-95.745150,228,Northeast,STANDARD,0.072,0.428,0.027,1.68,1.3,0.1,30.1,54.6,15.2,Silt Loam,0.062,0.399,0.077,1.4,0.076,0.423,0.073,1.37,1.35,0,30,45.7,24.3,Loam,0.122,0.48,0.112,1.23,1.3,0,16,35.6,48.4,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20140922,20991231
93,TALI,Talihina,Talihina,4,SE,LeFlore,34.710700,-95.011520,204,Southeast,CONTINUITY,0.049,0.392,0.076,1.43,1.36,0,45.4,35.8,18.8,Loam,0.059,0.407,0.071,1.42,0.095,0.457,0.065,1.33,1.31,0,23.4,27.2,49.4,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
94,TIPT,Tipton,Tipton,4,S,Tillman,34.439720,-99.137550,387,Southwest,STANDARD,0.05,0.37,0.104,1.38,1.48,0,42.6,41.6,15.8,Loam,0.05,0.365,0.109,1.37,0.05,0.349,0.128,1.36,1.58,0.1,43.9,38.4,17.6,Loam,0.055,0.383,0.15,1.36,1.45,0,43.1,35.4,21.5,Loam,0.059,0.352,0.081,1.36,1.61,0,42.1,34.6,23.3,Loam,19940101,20991231
95,TISH,Tishomingo,Tishomingo,6,N,Johnston,34.332620,-96.678950,268,South Central,STANDARD,0.057,0.369,0.039,1.55,1.51,0,32,50.4,17.6,Silt Loam,0.065,0.374,0.037,1.51,0.091,0.388,0.033,1.39,1.58,0,27.4,43.6,29,Clay Loam,0.132,0.358,0.083,1.2,1.78,0,15.9,33.1,51,Clay,0.128,0.34,0.081,1.2,1.83,0,18.7,33.9,47.4,Clay,19940101,20991231
96,TULL,Tullahassee,Tullahassee,2,ENE,Wagoner,35.839700,-95.413300,189,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19991104
137,TULN,Tulsa,Tulsa,4.2,NE,Tulsa,36.196660,-95.938830,209,Northeast,STANDARD,0.087,0.466,0.032,1.58,1.17,0,27.3,48.8,23.9,Loam,0.088,0.393,0.042,1.39,0.079,0.351,0.031,1.4,1.7,0,23.1,47.7,29.2,Clay Loam,0.125,0.388,0.04,1.19,1.62,0,15,39.9,45.1,Clay,0.078,0.28,0.034,1.25,1.91,0,21.3,49.5,29.2,Clay Loam,20130626,20991231
140,VALL,Valliant,Valliant,5,SSW,McCurtain,33.938606,-95.114913,120,Southeast,STANDARD,0.068,0.311,0.008,1.96,1.83,0,37.6,54.9,7.6,Silt Loam,0.042,0.336,0.05,1.53,0.039,0.33,0.073,1.45,1.63,0,42.5,51.2,6.3,Silt Loam,0.056,0.333,0.05,1.41,1.72,0,35.4,49.9,14.7,Loam,0.098,0.385,0.045,1.29,1.61,0,27.7,34.7,37.6,Clay Loam,20151014,20991231
115,VANO,Vanoss,Vanoss,2.4,NE,Pontotoc,34.791460,-96.843810,320,South Central,STANDARD,0.054,0.356,0.078,1.38,1.59,0,52.8,29.6,17.6,Sandy Loam,0.071,0.368,0.079,1.32,0.128,0.39,0.078,1.14,1.66,0,28,27.4,44.6,Clay,0.136,0.466,0.075,1.16,1.45,0.1,23.5,26.1,50.3,Clay,0.136,0.387,0.027,1.15,1.63,0,21.5,27.5,51.1,Clay,19980617,20121101
97,VINI,Vinita,Centralia,7,E,Craig,36.775360,-95.220940,236,Northeast,STANDARD,0.073,0.383,0.032,1.53,1.55,0,15.6,64.1,20.3,Silt Loam,0.069,0.384,0.04,1.49,0.057,0.392,0.083,1.4,1.38,0,25.4,49.9,24.7,Loam,0.125,0.465,0.174,1.24,1.35,0,15.3,29.1,55.6,Clay,0.128,0.47,0.058,1.23,1.4,0,9.6,31,59.4,Clay,19940101,20991231
136,WAL2,Walters,Walters,4,NW,Cotton,34.399570,-98.345690,323,Southwest,STANDARD,0.038,0.365,0.246,1.4,1.52,0,73.2,15.5,11.3,Sandy Loam,0.038,0.367,0.318,1.49,0.05,0.376,0.291,1.47,1.52,0,70.3,12.3,17.4,Sandy Loam,0.038,0.353,0.361,1.59,1.6,0,81.6,6.5,11.9,Sandy Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20120314,20991231
98,WALT,Walters,Walters,1,NW,Cotton,34.364700,-98.320250,308,Southwest,STANDARD,0.104,0.439,0.133,1.28,1.36,0.1,17.8,50.3,31.8,Silty Clay Loam,0.11,0.434,0.128,1.27,0.124,0.416,0.109,1.21,1.53,0,14.1,43.6,42.3,Silty Clay,0.105,0.365,0.048,1.21,1.71,0,21.2,39.1,39.7,Clay Loam,0.117,0.337,0.069,1.16,1.76,0.1,18.6,41,40.3,Silty Clay,19940101,20120313
99,WASH,Washington,Washington,6,SSW,McClain,34.982240,-97.521090,345,Central,STANDARD,0.078,0.386,0.024,1.57,1.54,0,41.2,37.3,21.5,Loam,0.079,0.379,0.03,1.47,0.081,0.358,0.067,1.27,1.69,0.1,43.5,22.2,34.2,Clay Loam,0.082,0.283,0.109,1.23,1.95,0,40.7,37.9,21.5,Loam,0.063,0.309,0.032,1.37,1.87,0,27,52.9,20.1,Silt Loam,19940101,20991231
100,WATO,Watonga,Watonga,7,W,Blaine,35.841850,-98.526150,517,West Central,STANDARD,0.056,0.368,0.083,1.39,1.5,0,33.7,43.9,22.5,Loam,0.058,0.372,0.083,1.39,0.063,0.382,0.083,1.37,1.47,0,28.3,45.1,26.7,Loam,0.067,0.392,0.144,1.35,1.43,0,28.1,42.9,29,Clay Loam,0.078,0.357,0.098,1.29,1.64,0.1,28.3,37.7,33.9,Clay Loam,19940101,20991231
101,WAUR,Waurika,Waurika,0.5,ENE,Jefferson,34.167750,-97.988150,283,South Central,STANDARD,0.04,0.377,0.2,1.37,1.45,0,66.1,20.7,13.2,Sandy Loam,0.046,0.375,0.173,1.36,0.066,0.367,0.101,1.31,1.61,0,53.1,20.9,26,Sandy Clay Loam,0.047,0.347,0.194,1.37,1.61,0,62.2,22.7,15.1,Sandy Loam,0.04,0.312,0.152,1.34,1.77,0,68.5,19.5,12,Sandy Loam,19940101,20991231
102,WEAT,Weatherford,Weatherford,4,WSW,Custer,35.508300,-98.775090,538,West Central,STANDARD,0.063,0.444,0.059,1.48,1.19,0,23.7,61.1,15.3,Silt Loam,0.058,0.441,0.083,1.42,0.053,0.438,0.216,1.38,1.13,0,30.8,49.7,19.5,Loam,0.131,0.508,0.267,1.51,1.02,0,25,65.3,9.7,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
144,WEB3,Webbers Falls,Webbers Falls,1.2,WNW,Muskogee,35.515148,-95.149933,146,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20210615,20991231
103,WEBB,Webbers Falls,Webbers Falls,3,S,Muskogee,35.472980,-95.132090,145,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20080416
132,WEBR,Webbers Falls,Webbers Falls,1.5,S,Muskogee,35.489000,-95.123300,145,East Central,STANDARD,0.056,0.384,0.041,1.57,1.45,0,18.5,65.8,15.7,Silt Loam,0.057,0.384,0.052,1.5,0.062,0.384,0.106,1.37,1.45,0,12.2,64.6,23.2,Silt Loam,0.052,0.39,0.12,1.38,1.36,0,22.3,58.3,19.4,Silt Loam,0.044,0.366,0.148,1.39,1.43,0.1,28.5,57,14.4,Silt Loam,20080417,20210615
104,WEST,Westville,Westville,5,WNW,Adair,36.011000,-94.644960,348,East Central,STANDARD,0.043,0.425,0.066,1.53,1.1,0,18.8,67.9,13.3,Silt Loam,0.045,0.417,0.071,1.5,0.055,0.393,0.096,1.4,1.35,0,11.2,60.7,28.2,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
105,WILB,Wilburton,Wilburton,2,SW,Latimer,34.900920,-95.348050,199,Southeast,STANDARD,0.055,0.386,0.043,1.54,1.42,0.1,33.1,51.7,15.1,Silt Loam,0.058,0.379,0.043,1.53,0.064,0.356,0.044,1.45,1.62,0,27.8,51.3,20.9,Silt Loam,0.124,0.495,0.156,1.22,1.29,0,17.6,19.8,62.6,Clay,0.141,0.472,0.189,1.21,1.37,0,8.7,27.4,63.9,Clay,19940101,20991231
106,WIST,Wister,Wister,3,ENE,LeFlore,34.984260,-94.687780,143,Southeast,STANDARD,0.072,0.388,0.029,1.59,1.51,0,17.5,61.8,20.8,Silt Loam,0.071,0.389,0.037,1.51,0.071,0.393,0.08,1.37,1.45,0,9.9,61.2,28.9,Silty Clay Loam,0.132,0.496,0.106,1.18,1.34,0,8.8,17.9,73.3,Clay,0.134,0.465,0.096,1.16,1.44,0,4.4,24.9,70.8,Clay,19940101,20991231
107,WOOD,Woodward,Woodward,2,WSW,Woodward,36.423290,-99.416820,625,North Central,STANDARD,0.057,0.4,0.126,1.36,1.37,0,35.3,36.2,28.6,Clay Loam,0.056,0.403,0.133,1.36,0.053,0.411,0.149,1.36,1.3,0,38.2,37,24.9,Loam,0.054,0.405,0.254,1.44,1.3,0,38.9,36.3,24.8,Loam,0.056,0.402,0.27,1.47,1.33,0,42.6,31.9,25.5,Loam,19940101,20991231
108,WYNO,Wynona,Wynona,2,S,Osage,36.518060,-96.342220,269,Northeast,STANDARD,0.08,0.494,0.075,1.39,1.05,0,25.4,48.3,26.3,Loam,0.085,0.481,0.081,1.36,0.101,0.435,0.108,1.27,1.41,0,34.2,37,28.8,Clay Loam,0.1,0.463,0.05,1.37,1.29,0,27.1,35.2,37.7,Clay Loam,0.134,0.389,0.079,1.23,1.69,0,9.8,37.2,53,Clay,19940101,20991231
142,YUKO,Yukon,Yukon,2,N,Canadian,35.556710,-97.755380,407,Central,STANDARD,0.039,0.361,0.238,1.39,1.52,0,75.1,21.1,3.8,Loamy Sand,0.035,0.345,0.255,1.42,0.033,0.336,0.238,1.4,1.65,0,82.7,12.3,5,Loamy Sand,0.053,0.344,0.112,1.32,1.69,0,68.8,13.4,17.8,Sandy Loam,0.05,0.347,0.176,1.34,1.65,0,67.3,17.5,15.3,Sandy Loam,20180618,20991231
