stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
28,CLAR,Claremore,Claremore,1,WNW,Rogers,36.317200,-95.641700,213,Northeast,STANDARD,0.071,0.438,0.057,1.43,1.26,0,36.8,37.8,25.4,Loam,0.084,0.426,0.061,1.37,0.111,0.433,0.037,1.36,1.46,0,12.5,50.1,37.4,Silty Clay Loam,0.09,0.363,0.023,1.37,1.73,0.1,15,61.8,23.1,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20020707
29,CLAY,Clayton,Clayton,3,NNE,Pushmataha,34.656570,-95.325960,186,Southeast,STANDARD,0.048,0.418,0.165,1.37,1.23,0,37.2,40.6,22.2,Loam,0.049,0.422,0.16,1.37,0.053,0.436,0.143,1.37,1.16,0,26.6,44.6,28.9,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
30,CLOU,Cloudy,Cloudy,5,SSE,Pushmataha,34.223210,-95.248700,221,Southeast,STANDARD,0.05,0.367,0.03,1.7,1.5,0,36.6,54,9.4,Silt Loam,0.05,0.365,0.037,1.61,0.05,0.36,0.075,1.42,1.51,0.1,31.5,50.2,18.2,Silt Loam,0.099,0.373,0.184,1.32,1.57,0,19.4,42.8,37.8,Silty Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
122,CLRM,Claremore,Claremore,1.8,WNW,Rogers,36.321120,-95.646170,207,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20020711,20140501
31,COOK,Cookson,Marble City,7,NNW,Cherokee,35.680010,-94.848960,299,East Central,STANDARD,0.05,0.455,0.065,1.49,1.03,0.1,36.2,46.1,17.6,Loam,0.05,0.438,0.065,1.49,0.05,0.39,0.066,1.48,1.35,0,21,60.8,18.2,Silt Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
32,COPA,Copan,Copan,2,ENE,Washington,36.909870,-95.885530,250,Northeast,STANDARD,0.054,0.382,0.086,1.39,1.45,0,44.6,33.4,22,Loam,0.056,0.401,0.14,1.36,0.097,0.454,0.3,1.82,1.12,0,28.9,35.6,35.6,Clay Loam,0.071,0.408,0.104,1.32,1.47,0,49.4,17.1,33.5,Sandy Clay Loam,0.077,0.383,0.168,1.29,1.59,0,54.7,13.8,31.5,Sandy Clay Loam,19940101,20991231
33,DURA,Durant,Durant,6,SSE,Bryan,33.920750,-96.320270,197,South Central,STANDARD,0.065,0.395,0.077,1.37,1.45,0.1,41.9,30.9,27.1,Clay Loam,0.062,0.389,0.093,1.36,0.058,0.373,0.168,1.35,1.51,0,44.3,29.1,26.6,Loam,0.144,0.461,0.09,1.12,1.49,0,17.8,19.3,63,Clay,0.139,0.398,0.089,1.12,1.6,0,19.9,21.8,58.3,Clay,19940101,20991231
139,ELKC,Elk City,Elk City,5,S,Beckham,35.333530,-99.393980,584,West Central,STANDARD,0.053,0.385,0.123,1.36,1.44,0,48.7,35.5,15.8,Loam,0.053,0.379,0.168,1.36,0.063,0.409,0.181,1.36,1.35,0,38.5,34.7,26.8,Loam,0.07,0.385,0.197,1.36,1.49,0.1,43.5,29,27.4,Clay Loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20150610,20991231
34,ELRE,El Reno,El Reno,5,WNW,Canadian,35.548480,-98.036540,419,Central,STANDARD,0.091,0.437,0.012,2.06,1.32,0,16.3,60.9,22.8,Silt Loam,0.085,0.426,0.016,1.88,0.07,0.396,0.053,1.45,1.43,0,11.6,59.8,28.6,Silty Clay Loam,0.118,0.384,0.107,1.21,1.62,0,9.2,47.7,43.2,Silty Clay,0.182,0.433,0.111,2.14,-999,0,5.3,44.1,50.6,Silty Clay,19940101,20991231
35,ERIC,Erick,Erick,4,ESE,Beckham,35.204940,-99.803440,603,West Central,STANDARD,0.038,0.376,0.281,1.45,1.43,0.1,63.5,22.6,13.8,Sandy Loam,0.038,0.374,0.254,1.42,0.04,0.369,0.19,1.38,1.46,0,57.4,26.3,16.3,Sandy Loam,0.059,0.383,0.119,1.35,1.47,0,42.2,33.9,23.9,Loam,0.069,0.378,0.074,1.35,1.53,0,37.6,35.3,27.1,Clay Loam,19940101,20991231
